Name,CMC,Type,Color,Set,Collector Number,Rarity,Color Category,Status,Finish,Maybeboard,Image URL,Image Back URL,Tags,Notes,MTGO ID
"Legion's Landing",1,"Legendary Enchantment",W,"xln","22",rare,w,Owned,Non-foil,false,,,"Adanto Inquisition","",65054
"Sheltering Light",1,"Instant",W,"xln","35",uncommon,w,Owned,Non-foil,false,,,"Adanto Inquisition","",65082
"Skymarcher Aspirant",1,"Creature - Vampire Soldier",W,"rix","21",uncommon,w,Owned,Non-foil,false,,,"Adanto Inquisition","",66495
"Adanto Vanguard",2,"Creature - Vampire Soldier",W,"xln","1",uncommon,w,Owned,Non-foil,false,,,"Adanto Inquisition","",65012
"Martyr of Dusk",2,"Creature - Vampire Soldier",W,"rix","14",common,w,Owned,Non-foil,false,,,"Adanto Inquisition","",66481
"Paladin of Atonement",2,"Creature - Vampire Knight",W,"rix","16",rare,w,Owned,Non-foil,false,,,"Adanto Inquisition","",66485
"Forerunner of the Legion",3,"Creature - Vampire Knight",W,"rix","9",uncommon,w,Owned,Non-foil,false,,,"Adanto Inquisition","",66471
"Mavren Fein, Dusk Apostle",3,"Legendary Creature - Vampire Cleric",W,"xln","24",rare,w,Owned,Non-foil,false,,,"Adanto Inquisition","",65060
"Queen's Commission",3,"Sorcery",W,"xln","29",common,w,Owned,Non-foil,false,,,"Adanto Inquisition","",65070
"Radiant Destiny",3,"Enchantment",W,"rix","18",rare,w,Owned,Non-foil,false,,,"Adanto Inquisition","",66489
"Bishop of Binding",4,"Creature - Vampire Cleric",W,"rix","2",rare,w,Owned,Non-foil,false,,,"Adanto Inquisition","",66457
"Conclave Tribunal",4,"Enchantment",W,"grn","6",uncommon,w,Owned,Non-foil,false,,,"Adanto Inquisition","",69385
"Settle the Wreckage",4,"Instant",W,"xln","34",rare,w,Owned,Non-foil,false,,,"Adanto Inquisition","",65080
"Bishop of Rebirth",5,"Creature - Vampire Cleric",W,"xln","5",rare,w,Owned,Non-foil,false,,,"Adanto Inquisition","",65020
"Vanquisher's Banner",5,"Artifact",,"xln","251",rare,c,Owned,Non-foil,false,,,"Adanto Inquisition","",65532
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Adanto Inquisition","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Adanto Inquisition","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Adanto Inquisition","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Adanto Inquisition","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Adanto Inquisition","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Adanto Inquisition","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Adanto Inquisition","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Adanto Inquisition","",
"Plains",0,"Basic Land - Plains",W,"cma","292",common,l,Owned,Non-foil,false,,,"Adanto Inquisition","",
"Thriving Heath",0,"Land",W,"jmp","35",common,l,Owned,Non-foil,false,,,"Adanto Inquisition","",81817
"Intangible Virtue",2,"Enchantment",W,"ema","15",uncommon,w,Owned,Non-foil,false,,,"After Life","",60725
"Ministrant of Obligation",3,"Creature - Human Cleric",W,"rna","16",uncommon,w,Owned,Non-foil,false,,,"After Life","",71032
"Harmonious Archon",6,"Creature - Archon",W,"eld","17",mythic,w,Owned,Non-foil,false,,,"After Life","",78126
"Orzhov Enforcer",2,"Creature - Human Rogue",B,"rna","79",uncommon,b,Owned,Non-foil,false,,,"After Life","",71158
"Bastion of Remembrance",3,"Enchantment",B,"iko","73",uncommon,b,Owned,Non-foil,false,,,"After Life","",80155
"Cartel Aristocrat",2,"Creature - Human Advisor",BW,"gtc","150",uncommon,m,Owned,Non-foil,false,,,"After Life","",47569
"Cruel Celebrant",2,"Creature - Vampire",BW,"war","188",uncommon,m,Owned,Non-foil,false,,,"After Life","",71982
"Karlov of the Ghost Council",2,"Legendary Creature - Spirit Advisor",BW,"c15","46",mythic,m,Owned,Non-foil,false,,,"After Life","",
"Talisman of Hierarchy",2,"Artifact",WB,"mh1","233",uncommon,m,Owned,Non-foil,false,,,"After Life","",72838
"Athreos, God of Passage",3,"Legendary Enchantment Creature - God",BW,"sld","76",mythic,m,Owned,Non-foil,false,,,"After Life","",
"Mortify",3,"Instant",BW,"ddk","25",uncommon,m,Owned,Non-foil,false,,,"After Life","",48157
"Teysa, Orzhov Scion",3,"Legendary Creature - Human Advisor",BW,"gk2","28",rare,m,Owned,Non-foil,false,,,"After Life","",
"Seraph of the Scales",4,"Creature - Angel",BW,"rna","205",mythic,m,Owned,Non-foil,false,,,"After Life","",71410
"Teysa Karlov",4,"Legendary Creature - Human Advisor",BW,"rna","212",rare,m,Owned,Non-foil,false,,,"After Life","",71424
"Deathpact Angel",6,"Creature - Angel",BW,"gtc","153",mythic,m,Owned,Non-foil,false,,,"After Life","",47757
"Brightclimb Pathway",0,"Land",BW,"slu","14",rare,l,Owned,Non-foil,false,,,"After Life","",
"Concealed Courtyard",0,"Land",WB,"kld","245",rare,l,Owned,Non-foil,false,,,"After Life","",61859
"Godless Shrine",0,"Land - Plains Swamp",BW,"gtc","242",rare,l,Owned,Non-foil,false,,,"After Life","",47453
